ONET KSA	Count
loaders	473
medical linear accelerators	2
spreadsheet applications	937
moving carts	4
postal scales	1
robotic manipulators	1
data definition language ddl	3
maintenance scheduling software	3
grinder mills	1
polygraphs	3
data mining software	34
wireless microphones	2
distillation units	7
inventory management systems software	3
maxima	47
air wrenches	1
protocol analyzers	132
post drivers	3947
rss	415
printed circuit board design software	2
tape libraries	82
calibration software	48
cisco ios	412
angle grinders	3
volumetric glassware	7
vxworks software	1
compass software	10
oracle business intelligence enterprise edition	21
refrigerated trailers	25
oscilloscopes	781
twin spindle lathes	1
picks	577
rfid software	2
pricing guns	1
people work	12711
hibernate orm	12
oxygen masks	1
microcontrollers	282
turnbuckles	4
ensembl	2
gmail	115
optical emission spectrometers	2
public address systems	9
industrial vacuums	1
pneumatic nailers	2
water trucks	29
hearing protectors	22
probes	295
fine arts	323
pinterest	415
code readers	1
touch screens	43
allegro software	3
ferries	46
mechanical	230560
oracle solaris	49
aerators	10
resistance bridges	1
polishing tools	2
milling equipment	45
time tracking software	6
stand up forklifts	26
dredges	32
gravity convection ovens	2
blender	114
typewriters	69
ibm content manager	4
reciprocating compressors	22
lathes	1894
fluorescent lights	9
patient monitoring systems	2
ontario systems facs	1
ca clarity ppm	5
robotic tape libraries	1
extruders	45
microsoft office sharepoint server moss	9
gear shapers	3
farm trucks	2
apache ant	26
wireshark	422
vehicle management software	2
scoring machines	2
taxworks software	2
video analysis software	2
torque gauges	1
test pumps	3
wire brushes	2
ifconfig	3
hoes	8
autodesk maya	27
strappers	1
scoring tools	3
microsoft publisher	99
derricks	92
earth tampers	3
point of sale pos systems	5
epicor vantage erp	5
blow molding machines	29
ibm rational system architect	2
microsoft entourage	1
synopsys hspice	6
credit card machines	22
scanning electron microscopes	8
tractor trailers	181
screen printing press	2
factiva	6
metal benders	1
encoder software	1
ibm websphere mq	2
land drilling rigs	3
dryers	175
power meters	142
10 key calculators	3
fuel pumps	116
stump grinders	9
engineering copiers	1
linux	30824
surface area analyzers	1
drag brooms	10
dust collectors	8
parking signs	2
computerease construction accounting	7
wet mops	12
testng	140
diode lasers	3
floats	12
dial indicators	170
belt loaders	4
profilers	27
steel rods	1
protiviti governance portal	2
problem sensitivity	274
trenchers	17
heating torches	9
imaging systems	106
nagios	515
air conditioning systems	777
high reach forklifts	4
foley catheters	2
two way radios	131
arbors	4
ada	2168
microsoft visual studio team foundation server	7
mechanical lifts	1
fire trucks	10
snow removal equipment	19
belt conveyors	29
programmable hearing aids	3
prolog	119
inclinometers	1
emergency lighting	10
intrusion alarms	2
bridge plates	1
fork trucks	35
nailers	6
foot controls	223
steam boilers	47
data acquisition equipment	56
response orientation	2
timekeeping software	102
decision support software	7
resistivity meters	1
protective glasses	50
active learning	96
extrusion machines	2
pile driving equipment	1
robot framework	8
cannulas	1
portable air compressors	2
deep wells	6
salesforce software	37
gas analyzers	13
stretchers	6
plug gauges	7
carpet shampooers	3
tire chains	165
microsoft commerce server	6
medical x ray units	1
bull floats	1
grinding stones	396
data acquisition systems	227
compression garments	19
machine control software	4
infrared thermometers	1
end mills	53
hazardous material packaging	1
glove box systems	1
ellipticals	4
measuring gauges	11
oracle real application cluster rac	1
balancing machines	3
microsoft powerpoint	2734
scales	685
compressed air systems	329
mixed signal oscilloscopes	8
hotplates	2
audienceview ticketing	1
sap dms	2
engine analyzers	7
slot machines	21
vises	12
pressure transducers	39
modems	208
oracle retek	3
radiation detectors	3
sieves	3
winsteps	5
foot orthotics	2
venturi meters	4
adjustable wrenches	25
digital scales	6
jig borers	9
dx studio	3
surgical gloves	1
projection equipment	5
floor strippers	2
particle size analyzers	3
power drivers	5
compliance software	106
epic software	56
mini screwdrivers	2
cascading style sheets css	45
call management systems cms	1
statistics software	30
vector canoe	2
orthotic devices	11
water level recorders	3
labware lims	14
signal level meters	11
skm systems analysis power tools	11
cooling towers	1073
blowers	396
stage	3706
spss	877
color laser printers	4
hydrometers	2
robotic total stations	9
staple guns	10
personal protective clothing	3
balances	4691
voice mail systems	30
air blowers	48
radius gauges	5
opengl	612
anesthesia equipment	1
meditech software	28
link analyzers	8
microsoft windows mobile	2
pallet trucks	10
visual color discrimination	2
oxygen tanks	4
nslookup	4
cell washers	4
rolling machines	3
static analysis software	2
pruning shears	3
planes	191
shims	4
paint sprayers	2
test lamps	2
proximity sensors	22
meggers	12
mp3 players	44
adapt it	1
cut off saws	8
job costing software	11
flow hoods	4
hay balers	15
computer assisted design software	2
majestic seo	10
bending brakes	3
cisco anyconnect	3
records management systems	36
stencils	50
cement mixers	4
teradata bteq	3
roller beds	1
tivoli	648
perl shell	477
act software	31
large trucks	115
fannie mae desktop underwriter	18
programming languages	6946
