ONET KSA	Count
voltage testers	2
crutches	1
facilities management software	9
curing presses	1
brake presses	3
computer monitors	89
refrigerant recovery units	27
mathematics	8221
horizontal mills	36
computer server equipment	1
setup templates	1
straightedges	18
esri arclogistics	2
focus software	33
gas chromatographs	12
oracle siebel crm	8
snow blowers	32
crescent wrenches	4
torches	162
digital imaging software	11
reading comprehension	1364
slip rollers	1
cost estimating software	19
peripheral vision	3964
ONET KSA	Count
deductive reasoning	717
coffee makers	2
medical records software	8
sqlite	186
pallet jacks	555
thermal imaging systems	2
scrubbers	158
self contained breathing apparatus	16
reverse osmosis systems	5
tow tractors	3
oral comprehension	87
human machine interface hmi software	1
hammers	221
burners	86
dividers	11
homogenizers	11
ferret	8
hard hats	173
air chisels	2
systems evaluation	60
oracle fusion middleware	117
diaphragms	1
milking equipment	1
siemens nx	31
sand	367
hand clamps	1
spray guns	35
data warehousing software	1
trimble gps pathfinder	1
knee mills	25
sap maintenance	57
pike poles	1
customer information databases	1
synopsys primetime	1
sabre software	1
plunger lifts	2
cadence orcad pspice	1
fear	412
sas software	18
solidworks enterprise pdm	3
monster com	2178
data modeling software	16
plumb bobs	12
impact software	14
audio recording equipment	4
national instruments teststand	7
mechanical presses	6
windows kernel debuggers	1
linear accelerators	4
film plates	2
fire extinguishers	58
chart recorders	11
saws	1249
complex problem solving	377
security cameras	28
music software	2
turret lathes	2
maintenance planning systems	1
ultimate software ultipro	7
foamers	2
signal conditioners	25
multidimensional expressions mdx	1
work boots	240
needle machines	1
quantitative analysis software	1
multilimb coordination	30
lifeboats	25
vacuum lifters	1
flat files	36
unix	19513
push mowers	1
ibm websphere	260
web based information systems	6
surface plates	43
film extruders	1
hydraulic lift systems	4
thermal processing equipment	3
leak detectors	9
orbital sanders	1
bench grinders	5
objective caml	16
vacuum coating systems	3
blower doors	1
atlassian confluence	11
jibs	4
oil coolers	1
hoppers	276
handlifts	2
sap business one	101
computer diagnostic devices	18
gas chromatographs gc	1
oracle software	393
security surveillance systems	5
electronic measuring devices	2
clustering software	3
induction heaters	2
hones	10
piston pumps	9
curling irons	1
handguns	2
